,Operator,Fatalities
823,Deccan Airways,31.0
824,Del Rio Flying Service - Air Taxi,7.0
825,Delaware Aviation - Air Taxi,2.0
826,Delta Air Lines,299.0
827,Delta Air Lines/ North Central Airlines,10.0
828,Deming Flying Service - Air Taxi,2.0
829,Den Norske Luftfartskole,7.0
830,Denver Air Center,7.0
831,Deraps Aviation,3.0
832,Deraya Air Taxi,1.0
833,Derby Aviation,34.0
834,Deruluft,23.0
835,Det Danske Luftfartselskab,12.0
836,Deutche Lufthansa,1.0
837,Deutsche Flugdienst,1.0
838,Deutsche Lufthansa,396.0
839,Deutsche Zeppelin Reederei,35.0
840,Devener Flying Service - Taxi,3.0
841,Devlet Hava Yollairi,15.0
842,Devlet Hava Yollari,39.0
843,Dirgantara Air Service,3.0
844,Dirgantara Air Services,46.0
845,Djibouti Airlines,5.0
846,Dodita Air Cargo,1.0
847,Dominicana,31.0
848,Dominion Air Lines,1.0
849,Don Everall Aviation,3.0
850,Don Zimmerman - Air Taxi,4.0
851,Douglas Aircraft,5.0
852,Douglas Aircraft Company,5.0
853,Douglas Airways,26.0
854,Downeast Airlines,20.0
855,Duncan Aircraft Sales,10.0
856,Dunlap Aviation - Air Taxi,2.0
857,Dutch Continental Airways,3.0
858,Dutch Dakota Association,32.0
859,Dwyer Flying Service - Private Charter,4.0
860,E.A.S. Aeroservizi,3.0
861,EAS Airlines (Executive Airline Services),74.0
862,EDELCA,12.0
863,ELK Aviation Co. (leased from Eminex),2.0
864,ERA Aviation - Air Taxi,3.0
865,ERA Helicopter,2.0
866,ETA - Empresa Transportes Aéreos,9.0
867,EXA Inc.,12.0
868,Eagle Air,10.0
869,Eagle Airways,2.0
870,Eagle Aviation,40.0
871,Eagle Cap Leasing,14.0
872,Eagle Commuter,7.0
873,Eagle Flight - Air Taxi,4.0
874,East African Air Charters,4.0
875,East African Airways,63.0
876,East Anglian Flying Services,12.0
877,East Coast Air - Air Taxi,3.0
878,East Coast Jets,8.0
879,East Indonesia Air Taxi,13.0
880,East Provincial Airways,15.0
881,Eastern Air Lines,710.0
882,Eastern Air Lines / Military - Bolivian Air Force,55.0
883,Eastern Air Lines / Military - U.S. Army Air Corps,3.0
884,Eastern Air Lines / Military - USN,16.0
885,Eastern Air Transport,3.0
886,Eastern Provincial Airways,9.0
887,Ecuatair,60.0
888,Ecuato Guineana de Aviacion,6.0
889,Edde Airlines,13.0
890,Edinburgh Air Charter,8.0
891,EgyptAir,406.0
892,Eitos,13.0
893,Ejercito del Aire,16.0
894,El Al,69.0
895,El Magal Aviation,7.0
896,Elbee Airlines,2.0
897,Embry Riddle Company,1.0
898,Emery Worldwide,5.0
899,Emirates Air Transport,4.0
900,Empire Airlines,2.0
901,Empresa Aviacion del Pacifico,36.0
902,Empresa Nacional de Transp.  Trabalho Aereo,5.0
903,Empressa Commun. Aéreas de Veracruz,15.0
904,Enimex,2.0
905,Era Helicopter - Air Taxi,2.0
906,Ethiopian Airlines,223.0
907,Eurasia,4.0
908,Eureka Aero Inc. - Air Taxi,3.0
909,Euro Asia Aviation,6.0
910,Euroair,1.0
911,Eurojet Italila,2.0
912,Europe Aero Service EAS,22.0
913,Everest Air,19.0
914,"Evergreen Alaska Helicopters, Inc.",4.0
915,Evergreen Helicopter - Air Taxi,7.0
916,Evergreen International Airlines,2.0
917,Evolga,3.0
918,Executive Air - Air Taxi,10.0
919,Executive Airlines,19.0
920,Executive Funds,1.0
921,Executive Jet Sales Inc.,6.0
922,Exportada De Sal S.A.,12.0
923,Express Airlines - Northwest Airlink,18.0
924,Expresso Aéreo,32.0
925,F.R. de la Direccion General de Ados,20.0
926,FAMA (Argentina),21.0
927,Fairbanks Air - Air Taxi,2.0
928,Fairbanks Air Service - Taxi,2.0
929,Fairflight Ltd.,80.0
930,Fairways,10.0
931,Falcon Airways - Air Taxi,2.0
932,Falcon Aviation Group,7.0
933,Far Aviation - Air Taxi / Speeds Flying - Air Taxi,2.0
934,Far East Aviation,98.0
935,Far Eastern Air Transport,208.0
936,Faraz Qeshm Airlines,30.0
937,Farnair Hungary,2.0
938,Faucett,213.0
939,FedEx,3.0
940,Federal Airlines,53.0
941,Federal Express,2.0
942,Festus Flying Service - Air Taxi,2.0
943,Fiji Air,2.0
944,Fiji Air Services,9.0
945,Filipinas Orient Airways,11.0
946,Fine Air,4.0
947,Finnair,47.0
948,First Air,2.0
949,Flamingo Airlines - Air Taxi,2.0
950,Flash Air,148.0
951,Fleming Airways System Transport,1.0
952,Fleming International Airways,3.0
953,Flight Safety Australia,2.0
954,Flight Service,13.0
955,Flightline,10.0
956,Florida Commuter Airlines,34.0
957,Flota Aérea Mercante Argentina,12.0
958,Flugefelag,25.0
959,Flugfelag Austurlands,3.0
960,Fly 540,3.0
961,Flying Tiger Line,174.0
962,Flying W Airways,2.0
963,Flynn's Ferry Service,2.0
964,Force Area Populaire de Angola,37.0
965,Ford Air Freight Inc.,2.0
966,Formosa Airlines,53.0
967,Fortaire Aviation - Air Taxi,3.0
968,Foster Aviation,6.0
969,Fragtflug,3.0
970,Francisco Cruz,6.0
971,Franco-Roumaine,5.0
972,Fred Olsen Flyveselskap,11.0
973,Freedom International,1.0
974,Frigorifico Cooperativo Los Andes,27.0
975,Frigorifico Maniqui,7.0
976,Frigorifico Reyes,5.0
977,Frigorifico Santa Rita,5.0
978,Frontier Air,1.0
979,Frontier Airlines,7.0
980,Frontier Flying Service,3.0
981,Frontier Flying Service - Air Taxi,7.0
982,Fuerza Area Angolaise,47.0
983,Fuerza Aérea Argentina,73.0
984,Fuerza Aérea Colombiana,80.0
985,Fuerza Aérea Nicaragua,28.0
986,Fuerza Aérea Panamena,16.0
987,Fuerza Aérea Uruguaya,5.0
988,Fuerza Aérea Venezolana,11.0
989,Fuerza Aérea del Peru,244.0
990,Fuji Airlines,20.0
991,Fujita Koku Kabushki Kai,19.0
992,Fun Air,5.0
993,G & W Aviation,5.0
994,GAS Air,8.0
995,GLM Aviation,2.0
996,GP Express Airlines,5.0
997,GT Air,18.0
998,Gabon Express,19.0
999,Gaige Aviation - Air Taxi,5.0
1000,Galaxy Airlines,70.0
1001,Galaxy Kavatsi Airlines,8.0
1002,Galena Air Service - Air Taxi,6.0
1003,Galesburg Aviation - Air Taxi,2.0
1004,Gambcrest,30.0
1005,Gander Aviation,10.0
1006,Garamut Aviation,3.0
1007,Garuda  Indonesia Airlines / Garuda Indonesia Airlines,34.0
1008,Garuda Indonesia Airlines,574.0
1009,Gastonia Aviation - Taxi,2.0
1010,Gay Airways - Air Taxi,4.0
1011,General Air,8.0
1012,General Airways,4.0
1013,General Aviation Inc.,2.0
1014,Georgia Express,10.0
1015,Georgian Air,24.0
1016,Geoterrex,3.0
1017,Ghana Airlink,7.0
1018,Ghana Airways,1.0
1019,Ginger Coote Airways,1.0
1020,Gira Globo Charter,13.0
1021,Global Executive Aviation,4.0
1022,Globe Air,126.0
1023,Glow Air/Air Castle - Charter,3.0
1024,Gol Airlines / Private,154.0
1025,Golden Star Air Cargo,7.0
1026,Golden West Airlines / Private,14.0
1027,Goose Bay Air Services,4.0
1028,Gor'ky Eskadril'ya,50.0
1029,Goroka Air Services,2.0
1030,Government of Mozambique,34.0
1031,Grand Aire,2.0
1032,Grand Canyon Air - Air Taxi,2.0
1033,Grand Canyon Airlines,16.0
1034,Grand Canyon Airlines / Helitech,25.0
1035,Grands Express Aeriens,24.0
1036,Great Lakes Business Complany,14.0
1037,Great Western and Southern Air Lines,6.0
1038,Greek Government,7.0
1039,Green Acres - Air Taxi,3.0
1040,Green River Aviation - Air Taxi,3.0
1041,Greenbriar Airways,4.0
1042,Greylock Airways / Private,3.0
1043,Guardia Nacional de Venezuela,16.0
1044,Guernsey Airways,7.0
1045,Guiena Airways,1.0
1046,Guinea Airways,7.0
1047,Guinea Airways Limited,12.0
1048,Gulf Air,255.0
1049,Gulf Aviation (Kalinga Airways),16.0
1050,Gum Air Charter,10.0
1051,Guyana Airways,3.0
1052,Hageland Aviation Services,13.0
1053,Haines Airways - Air Taxi,4.0
1054,Hallo Bay Air - Air Taxi,3.0
1055,Halvorson - Air Taxi,3.0
1056,Hamilton Aviation,2.0
1057,Handley Page Transport,9.0
1058,Hang Khong (Vietnam),76.0
1059,Hankins Airways - Air Taxi,2.0
1060,Harbor Airlines - Air Taxi,4.0
1061,Harbour Air,3.0
1062,Harbour Air Seaplanes Ltd.,5.0
1063,Hargreaves Airways,6.0
1064,Harka Air Services,16.0
1065,Harold E. Bell - Air Taxi,2.0
1066,Harold's Air Service,1.0
1067,Harrington's Inc,3.0
1068,Harry Faulkner - Air Taxi,2.0
1069,Harvey's Flying Service - Air Taxi,2.0
1070,Hati Express,11.0
1071,Havasu City Air - Air Taxi,3.0
1072,Haïti Air Inter,19.0
1073,Heavylift Cargo Airlines,6.0
1074,Helaire Helicopter,3.0
1075,Heli-USA Airways,4.0
1076,"Heli-USA Airways, In- Air Taxi",4.0
1077,Heliandes,16.0
1078,Helicol Colombia,3.0
1079,Helicopter - Air Taxi,2.0
1080,Helicopteros Nacionales de Colombia,15.0
1081,Helicsa,11.0
1082,Helikopter Service,18.0
1083,Helios Airways,121.0
1084,Helisul Taxi Aéreo,2.0
1085,Heliwork WA Pty Ltd. - Air Taxi,4.0
1086,Henry Nichols - Air Taxi,2.0
1087,Henry Webber Air - Air Taxi,2.0
1088,Heringer Air Taxi,4.0
1089,Hesler Noble - Air Taxi,2.0
1090,Hewa Bora Airways,0.0
1091,HiTech Helicopters,4.0
1092,Hibiscus Air,9.0
1093,Himmelsschreiber,5.0
1094,Hlavka Aviation - Air Taxi,2.0
1095,Holdens Air Transport Service,2.0
1096,Holmstoem Air,16.0
1097,Holyman Airways,18.0
1098,Homer Air Service - Air Taxi,2.0
1099,Horizon Properties,5.0
1100,Hornbill Airways,1.0
1101,Hoseba,10.0
1102,Houston Metro Airlines,6.0
1103,Houston-Beech - Air Taxi,3.0
1104,Hudgin Air Service,7.0
1105,Hudson Air Service - Air Taxi,2.0
1106,Hughes Airwest  / Military - US Marine Air Corps,50.0
1107,Hunter Airways,2.0
1108,Hunting Air Travel,33.0
1109,Huron Air,2.0
1110,Hyannis Air Service - Air Taxi,3.0
1111,IAI 1124 Westwind,3.0
1112,IAS Cargo,6.0
1113,IMSS,13.0
1114,Iberia Airlines,483.0
1115,Iberia Airlines / Aviaco,93.0
1116,Ibertrans Aérea,3.0
1117,Icelandair,40.0
1118,Imperial Airways,185.0
1119,Imperial Comm - Air Taxi,3.0
1120,Inair Panama,2.0
1121,Indamer,14.0
1122,Independent Air Inc.,144.0
1123,Independent Air Travel,3.0
1124,Indian Airlines,863.0
1125,Indian Airlines/Alliance Airlines,55.0
1126,Indian National Airlines,41.0
1127,Indian National Airways,2.0
1128,Indonesian National Police,15.0
1129,Inex Adria Aviopromet,75.0
1130,Inex Adria Aviopromet (Yugoslavia),180.0
1131,Inex Adria Aviopromet / British Airways,176.0
1132,Inland Aviation - Air Taxi,2.0
1133,Inter City Flug,7.0
1134,Inter Island Air - Air Taxi,2.0
1135,Inter Island Air Services,10.0
1136,Inter-Island,1.0
1137,Interamericana de Aviacion,5.0
1138,Intercontinental de Aviacion,51.0
1139,Interflug,212.0
1140,Interior Airways,2.0
1141,Interior Airways - Air Taxi,2.0
1142,International Air Freight,1.0
1143,International Control Commision,13.0
1144,International Jet Charter,2.0
1145,Interocean,1.0
1146,Interstate Airlines,4.0
1147,Intracostals - Air Taxi,3.0
1148,Inuvik Coastal Airways,2.0
1149,Invicta International Airlines (UK),108.0
1150,Iran Air,343.0
1151,Iran Air Tours,146.0
1152,Iran Air Tours  /  Military - Iranian Air Force,133.0
1153,Iran Asseman Airlines,66.0
1154,Iran National Airlines,128.0
1155,Iraqi Airways,193.0
1156,Island Air,13.0
1157,Island Airways,4.0
1158,Island Airways Ltd.,8.0
1159,Island Express Helicopter Service,4.0
1160,Island Sky Ferry - Air Taxi,0.0
1161,Islands Nationair,13.0
1162,Islands of the Bahamas Inc,2.0
1163,Itavia,141.0
1164,Itek Air,68.0
1165,Ivolga Avia,8.0
1166,JAT Yugoslav Airlines,136.0
1167,JC Air,7.0
1168,Jack Harter Helicopters,5.0
1169,Jack N. Boswick - Air Taxi,2.0
1170,Jamair,20.0
1171,Jamie Ramirez - Air Taxi,3.0
1172,Japan Air Lines,764.0
1173,Japan Air Self-Defence Force,14.0
1174,Japan Aviation Corporation,10.0
1175,Jay Hawk Air - Air Taxi,3.0
1176,Jersey Airways,14.0
1177,Jet Alaska,4.0
1178,Jet Avia Charter,4.0
1179,Jet Charter Group,2.0
1180,Jet Pro,2.0
1181,Jet Wings,1.0
1182,Jetcom S.A.,8.0
1183,Jetcraft,1.0
1184,Jetstream Inc.,3.0
1185,Jett Paqueteria SA,5.0
1186,Jetwingsco Inc. - Private Charter,18.0
1187,Johnson Flying Service,10.0
1188,Jordan International Airlines,1.0
1189,Juba Air Cargo,7.0
1190,Junction City Fire Department,9.0
1191,KLM Cityhopper,3.0
1192,KLM Royal Dutch Airlines,616.0
1193,KNILM,16.0
1194,Kalinga Airlines,43.0
1195,Kalinin,14.0
1196,Kam Air,104.0
1197,Kamchatavia,11.0
1198,Kansas City Southern Skyways,2.0
1199,Kapowsin Air Sports,10.0
1200,Karibu Airways,2.0
1201,Kata Transportation,8.0
1202,Kauai Helicopter - Air Taxi,2.0
1203,Kavatshi Airlines,11.0
1204,Kelowna Flightcraft Air Charter,2.0
1205,Kenai Air Service - Air Taxi,8.0
1206,Kenmore Air  - Air Taxi,7.0
1207,Kenn Borek Air,10.0
1208,Kenya Airways,283.0
1209,Key West Sea Plane Service - Air Taxi,5.0
1210,Keystone Air Services Ltd. - Air Taxi,1.0
1211,Khalatyrka,20.0
1212,Khors Aircompany,11.0
1213,Kiev Production Association,1.0
1214,Kime Flying Service - Air Taxi,3.0
1215,Kimura International,10.0
1216,Kinair Cargo,5.0
1217,King Air Charter,3.0
1218,Kirghizia Aba Zaoldoru,15.0
1219,Kisangani Airlift,10.0
1220,Kish Airlines,43.0
1221,Kismayo Airlines,8.0
1222,Kivu Air Services,2.0
1223,Kiwi West Aviation,6.0
1224,Knight Air,12.0
1225,Knowles Flying Service of Detroit,3.0
1226,Kodiak Airways,6.0
1227,Kodiak Western Alaska Airlines,4.0
1228,Komi Avia,14.0
1229,Kondair,1.0
1230,Korean Air,7.0
1231,Korean Airlines,713.0
1232,Krasnoyarskavia,10.0
1233,Krasnoyarskie Avialinii,20.0
1234,Kuban Airlines,36.0
1235,Kurtzer Flying Service - Taxi,2.0
1236,Kuwait Airways,2.0
1237,L & J Company,6.0
1238,L'Armée de L'Air,21.0
1239,L'Express Airlines,13.0
1240,L.J. Simmons - Air Taxi,4.0
1241,LAC Colombia,11.0
1242,LAC Columbia,4.0
1243,LACOL,2.0
1244,LACSA,11.0
1245,LADE,11.0
1246,LAN,156.0
1247,LANC Colombia,5.0
1248,LANSA,141.0
1249,"LAPA, Lineas Aereas Privadas Argentinas",64.0
1250,LARES,29.0
1251,LATI,10.0
1252,LAV - Linea Aeropostal Venezolana,47.0
1253,LOT Polish Airlines,417.0
1254,La Costena,16.0
1255,Lab Flying Service - Air Taxi,6.0
1256,Labradore Airways,4.0
1257,Lackey Aero Company - Taxi,4.0
1258,Ladeco,36.0
1259,Lake Central Airlines,38.0
1260,Lake Havasu Air,6.0
1261,Lambair,2.0
1262,Lancashire Aircraft Corporation (Skyways),39.0
1263,Lanica,20.0
1264,Lao Aviation,26.0
1265,Lao Cathay Airlines,10.0
1266,Laoag International Airlines,19.0
1267,Las Vegas Airlines,33.0
1268,Latecoere Airlines,22.0
1269,Lauda Air,223.0
1270,Laurentian Air Services,5.0
1271,Layman Weikle - Taxi,2.0
1272,Leadair - Charter,10.0
1273,Leamon Flying Service,3.0
1274,Lebanese International Airways,27.0
1275,Leeward Islands Air Transport,13.0
1276,Lehigh Acres Development Inc.,1.0
1277,Les Ailes de Gaspé Inc.,3.0
1278,Lester C. Bush - Air Taxi,3.0
1279,Lexington Air Taxi,9.0
1280,Liard Air,1.0
1281,Libya Arab Airlines,110.0
1282,Libya Arab Airlines / Military -  Libya Air Force,157.0
1283,Lignes Aeriennes Latecoere,5.0
1284,Lina Congo,3.0
1285,Linair Express,7.0
1286,Linea Aeropostal Venezolana,313.0
1287,Linea Aérea Mexicana de Carga,2.0
1288,Linea Aérea Nacional,1.0
1289,Linea Expresa Bolivar,4.0
1290,Lineas Aereas,20.0
1291,Lineas Aereas Mineras,12.0
1292,Lineas Aereas Nacionales SA (Peru),190.0
1293,Lineas Aereas Suramericanas,3.0
1294,Lineas Aereas Unidas,13.0
1295,Lineas Aereas de Angola,29.0
1296,Lineas Aereas de Espana/Spantax SA Transportes,68.0
1297,Lineas Aereas de los Libertadores,8.0
1298,Lineas Aereas del Caribe,4.0
1299,Lineas Aereas del Estado,16.0
1300,Lineas Areas Unidas,22.0
1301,Lineas Areas Venezolanas,34.0
1302,Lineas Areas del Centro,18.0
1303,Lineas Aéreas Brasil,5.0
1304,Lineas Aéreas Cave,3.0
1305,Lineas Aéreas Colombianas,7.0
1306,Lineas Aéreas Costarricenses,2.0
1307,Lineas Aéreas Costarricenses  LACSA,22.0
1308,Lineas Aéreas Interpolar,8.0
1309,Lineas Aéreas La Urraca,18.0
1310,Lineas Aéreas Mineras,1.0
1311,Lineas Aéreas Nacionales,27.0
1312,Lineas Aéreas Sud Americana,5.0
1313,Lineas Aéreas Suramericanas,8.0
1314,Lineas Aéreas Trans. Brasileira,2.0
1315,Lineas Aéreas la Urraca,20.0
1316,Linee Aeree Italiane,107.0
1317,Linjefyg,31.0
1318,Lion Air,26.0
1319,Lionair,55.0
1320,Lisa Jet Inc. - Air Taxi,3.0
1321,Living Water Teaching Ministries Charter,11.0
1322,Livingston Helicopter - Air Taxi,5.0
1323,Lloyd Aereo Boliviano,281.0
1324,Lloyd Aereo Colombiano,37.0
1325,Lloyd Aero Boliviano,2.0
1326,Lloyd Aéreo Boliviano,8.0
1327,Lockheed AC-130H Hercules,13.0
1328,Loftleidir IcelandiAirlines,188.0
1329,Loganair,8.0
1330,Loide Aereo Nacional,46.0
1331,Loide Aéreo Nacional,18.0
1332,Loma Linda University - Air Taxi,4.0
1333,Lone Star Airlines,3.0
1334,Los Angeles Airways,44.0
1335,Luft-Taxi Emsland,6.0
1336,Lufthansa,146.0
1337,Lufthansa Cargo Airlines,5.0
1338,Lufthansa Cityline,4.0
1339,Lumbini Airways,18.0
1340,Luthi Aviation - Air Taxi,2.0
1341,Luxair,20.0
1342,Líder Táxi Aéreo,4.0
1343,Líneas Aéreas Suramericanas,3.0
1344,MALERT,2.0
1345,MAP,27.0
1346,MAP - Ministerstvo Aviatsionnoi Promyshlennosti,9.0
1347,MATS - Manila Aero Transport System,7.0
1348,MD Air Services,6.0
1349,MIAT - Mongolian Airlines,147.0
1350,MK Airlines,8.0
1351,MMM Aero Services,30.0
1352,MaRoberston-Miller Airlines,18.0
1353,MaRobertson Miller Airlines,2.0
1354,MaRobertson-Miller Airlines,26.0
1355,Mabuhay Airways,1.0
1356,Macchi,13.0
1357,Macon Horizons - Air Taxi,4.0
1358,Maddux Airlines,16.0
1359,Maddux Airlines / Military - U.S.Army Air Force,6.0
1360,Madrid Taxi Aéreo - Charter,9.0
1361,Magistralnye Avialinii,17.0
1362,MajestiAir Cargo,2.0
1363,Malaysia Airlines,134.0
1364,Malert Airlines,12.0
1365,Malev Hungarian Airlines,227.0
1366,Malindi Air Services,2.0
1367,Malu Aviation,8.0
1368,Mamer - Shreck  - Air Taxi,3.0
1369,Manacá Táxi Aéreo,5.0
1370,Manchurian Air Lines,18.0
1371,Mandala Airlines,169.0
1372,Mango Airlines,5.0
1373,Mannin Airways,8.0
1374,Manunggal Air,1.0
1375,Marco Zero Air Taxi,5.0
1376,Maritime Central Airways,85.0
1377,MarkAir Commuter,1.0
1378,Marsland Aviation,7.0
1379,Martinair Holland NV,247.0
1380,Maryland State Police,4.0
1381,Mavrik Aire Transport,1.0
1382,Mayoral Executive Jet,1.0
1383,McCoy Flying Service - Taxi,2.0
1384,McKenzie Flying Service - Air Taxi,3.0
1385,McKinley Air Service - Air Taxi,4.0
1386,Med Flight Air Ambulance - Private,5.0
1387,Mercer Airlines,3.0
1388,Mercury Aviation,13.0
1389,Merpati Nasantara Airlines,18.0
1390,Merpati Nusantara Airlines,268.0
1391,MerriAviation - Air Taxi,4.0
1392,Metro Air Systems,11.0
1393,Metro Aviation,3.0
1394,Metro Cargo,4.0
1395,Metro Commuter - Air Taxi,5.0
1396,Mexican Government,8.0
1397,Mexicana,290.0
1398,Miami Airlines,63.0
1399,Mid Continent Airlines,16.0
1400,Mid Island Air - Air Taxi,3.0
1401,Mid PacifiAir,2.0
1402,Mid-AtlantiFreight,1.0
1403,Middle East Airlines,140.0
1404,Middle East Airlines / Military - Turkish Air ForceC-47,17.0
1405,Middle States Airlines,4.0
1406,Midwest Express,31.0
1407,Mililtary - Royal Canadian Air Force,7.0
1408,Mililtary - Soviet Air Force,20.0
1409,Mililtary - U.S. Navy,12.0
1410,Military -  (2) U.S. Army Air Forces,20.0
1411,Military - Afghan Republican Air Force,578.0
1412,Military - Algerian Air Force,4.0
1413,Military - Angolan  Air Force,5.0
1414,Military - Angolan Air Force,211.0
1415,Military - Angolan Armed Forces,20.0
1416,Military - Argentine Air Force,228.0
1417,Military - Argentine Navy,12.0
1418,Military - Armée de l'Air Malgache,13.0
1419,Military - Australian Army Aviation,18.0
1420,Military - Azerbaijan Air Force,87.0
1421,Military - Belgian Air Force,85.0
1422,Military - Bolivian Air Force,56.0
1423,Military - Brazilian Air Force,193.0
1424,Military - British Air Ministry,48.0
1425,Military - Burma Air Force,17.0
1426,Military - Canadian Air Force,9.0
1427,Military - Canadian Army,11.0
1428,Military - Centrafricain Airlines,24.0
1429,Military - Chadian Air Force,5.0
1430,Military - Chilean Air Force,73.0
1431,Military - Chilian Air Force,20.0
1432,Military - Chilian Navy,11.0
1433,Military - Chinese Air Force,125.0
1434,Military - Colombian Air Force,62.0
1435,Military - Colombian Army,26.0
1436,Military - Colombian government,20.0
1437,Military - Congolese Air Force,48.0
1438,Military - Corrieri Aerei Militari,16.0
1439,Military - Cuban Air Force,29.0
1440,Military - Deutsche Luftwaffe,40.0
1441,Military - Dostum-Galboddin Militia,50.0
1442,Military - Ecuadorean Air Force,49.0
1443,Military - Ecuadorian Air Force,12.0
1444,Military - Egyptian Air Force,72.0
1445,Military - Ejército del Aire,0.0
1446,Military - El Salvador Air Force,37.0
1447,Military - Ethiopian Air Force,153.0
1448,Military - Federal Nigerian Air Force,158.0
1449,Military - Finish Air Force,15.0
1450,Military - Florida Army National Guard,21.0
1451,Military - Force Aérienne Zaïroise,36.0
1452,Military - Forces Militaires Françaises,37.0
1453,Military - Força Aérea Brasileira,20.0
1454,Military - Força Aérea Portuguesa,21.0
1455,Military - French Air Force,186.0
1456,Military - French Naval Aviation,57.0
1457,Military - French Navy,52.0
1458,Military - Fuerza Aérea Argentina,6.0
1459,Military - Fuerza Aérea Colombiana,7.0
1460,Military - Fuerza Aérea de Chile,14.0
1461,Military - Fuerza Del Peru,13.0
1462,Military - Georgian Air Force,83.0
1463,Military - German Air National Guard,4.0
1464,Military - German Army,67.0
1465,Military - German Navy,313.0
1466,Military - Government of Equatorial Guinea,13.0
1467,Military - Government of Macedonia,9.0
1468,Military - Greek Air Force,5.0
1469,Military - Greek Army,17.0
1470,Military - Guatemalan Air Force,25.0
1471,Military - HelleniAir Force,63.0
1472,Military - Honduran Air Force,84.0
1473,Military - Imperial Iranian Air Force,50.0
1474,Military - Indian Air Force,442.0
1475,Military - Indian Navy,12.0
1476,Military - Indonesian Air Force,285.0
1477,Military - Iranian Air Force,295.0
1478,Military - Iranian Revolutionary Guard Corps Air Force,49.0
1479,Military - IslamiRepubliof Iran Air Force,109.0
1480,Military - IslamiRevolution's Guards Corps,275.0
1481,Military - Israel  Air Force,20.0
1482,Military - Israel Air Force,54.0
1483,Military - Israel Air Force /Military -  Israel Air Force,73.0
1484,Military - Italian Air Force,66.0
1485,Military - Japan Air Self Defense Force,10.0
1486,Military - Japan Maritime Self Defense Force,69.0
1487,Military - Japanese Air Self-Defence Force,5.0
1488,Military - Kenya Air Force,14.0
1489,Military - Kenyan Air Force,46.0
1490,Military - Kuwait Air Force,8.0
1491,Military - Lao People's Liberation Army Air Force,26.0
1492,Military - Luftwaffe,10.0
1493,Military - Luftwaffe / Military - USAF,33.0
1494,Military - Lybian Arab Air Force,6.0
1495,Military - Macedonian Air Force,11.0
1496,Military - Madagascar Air Force,34.0
1497,Military - Malaysian Air Force,5.0
1498,Military - Mauritanian Air Force,51.0
1499,Military - Mexican Air Force,36.0
1500,Military - Mozambique Air Force,70.0
1501,Military - Nicaraguan Air Force,165.0
1502,Military - Niger Air Force,14.0
1503,Military - Nigerian Air Force,27.0
1504,Military - Pakistan Air Force,102.0
1505,Military - People's Army/ Military - Peoples Air Force,24.0
1506,Military - People's Liberation Army,16.0
1507,Military - Peruvian Air Force,67.0
1508,Military - Peruvian Air Force - TANS,8.0
1509,Military - Peruvian Army Aviation,23.0
1510,Military - Peruvian Naval Aviation,42.0
1511,Military - Philippine Air Force,194.0
1512,Military - Polish Air Force,53.0
1513,Military - Portuguese Air Force,37.0
1514,Military - Republiof China Air Force,92.0
1515,Military - Republiof South Korea Air Force,121.0
1516,Military - Royal Air Force,525.0
1517,Military - Royal Airship Works,46.0
1518,Military - Royal Australian Air Force,185.0
1519,Military - Royal Belgian Air Force,75.0
1520,Military - Royal British Navy,25.0
1521,Military - Royal Canadian Air Force,89.0
1522,Military - Royal HelleniAir Force,23.0
1523,Military - Royal Indian Air Force,27.0
1524,Military - Royal Jordanian Air Force,26.0
1525,Military - Royal Lao Air Force,35.0
1526,Military - Royal Lesotho Defence Force,18.0
1527,Military - Royal Nepalese Air Force,56.0
1528,Military - Royal Netherlands East Indies Air Force,20.0
1529,Military - Royal Netherlands Naval Air Service,1.0
1530,Military - Royal Norwegian Air Force,19.0
1531,Military - Royal Saudi Air Force,187.0
1532,Military - Royal Thai Air Force,104.0
1533,Military - Russian,18.0
1534,Military - Russian Air Force,797.0
1535,Military - Russian Air Force / Military - Russian Air Force,77.0
1536,Military - Russian Air Force/Uzbekistan Airways,15.0
1537,Military - Russian Army,12.0
1538,Military - Russian Navy,17.0
1539,"Military - Russian, cargo",18.0
1540,Military - Salvadoran Air Force,28.0
1541,Military - Salvadorian Air Force,12.0
1542,Military - Servicio Aereo Nacional,11.0
1543,Military - Slovak Air Force,42.0
1544,Military - South African Air Force,52.0
1545,Military - Soviet Air Force,268.0
1546,Military - Soviet Navy,52.0
1547,Military - Spanish Air Force,16.0
1548,Military - Spanish Air Force.,22.0
1549,Military - Sri Lanka Air Force,273.0
1550,Military - Sudan Air Force,91.0
1551,Military - Sudanese Air Force,91.0
1552,Military - Taliban Militia,20.0
1553,Military - Tentara Nasional Indonesia Navy,9.0
1554,Military - Thai Army,10.0
1555,Military - Turkish Air Force,44.0
1556,Military - U. S. Air Force,36.0
1557,Military - U. S. Navy,42.0
1558,Military - U.S.  Air Force / Military - U.S. Navy,47.0
1559,Military - U.S. Air Force,3717.0
1560,Military - U.S. Air Force / Military -  U.S. Air Force,16.0
1561,Military - U.S. Air Force / Military -  U.S. Army,25.0
1562,Military - U.S. Air Force / Military - U.S. Air Force,79.0
1563,Military - U.S. Air Force / Military U.S. Air Force,0.0
1564,Military - U.S. Air Force / U.S. Air Force,28.0
1565,Military - U.S. Air Force/Military - U.S. Air Force,18.0
1566,Military - U.S. Army,498.0
1567,Military - U.S. Army / Military - U.S. Army,44.0
1568,Military - U.S. Army / Military U.S. Army,26.0
