,Operator,Fatalities
205,Air Haiti International,3.0
206,Air Hawaii,5.0
207,Air Illinois,10.0
208,Air India,827.0
209,Air Inter,167.0
210,Air Iowa,6.0
211,Air Ivoire,6.0
212,Air Ivorie,17.0
213,Air Jordan,10.0
214,Air Karibu,7.0
215,Air Kasai,14.0
216,Air Lanka,22.0
217,Air Laos,43.0
218,Air Liberia,8.0
219,Air Littoral,21.0
220,Air Logistics,18.0
221,Air Luxor,7.0
222,Air Madagascar,67.0
223,Air Malawi,10.0
224,Air Mali,57.0
225,Air Manila,61.0
226,Air Manitoba,9.0
227,Air Martinique,6.0
228,Air Mauritanie,80.0
229,Air Melanesie,1.0
230,Air Memphis,6.0
231,Air Methods / ClassiHelicopters,6.0
232,Air Moorea,20.0
233,Air Nautic,65.0
234,Air New England,1.0
235,Air New Zealand,261.0
236,Air Niagara,2.0
237,Air North,1.0
238,Air North Queensland,11.0
239,Air Ocean,16.0
240,Air Ohio - Air Taxi,2.0
241,Air One Executive,2.0
242,Air Ontario,24.0
243,Air Orient,17.0
244,Air Outre-Mer,3.0
245,Air Outremer,18.0
246,Air Pennsylvania - Air Taxi,3.0
247,Air Pereira,4.0
248,Air Philippines,131.0
249,Air Rainbow,7.0
250,Air Reconnaissance Unit of Liberia,16.0
251,Air Rhodesia,97.0
252,Air Rouergue,5.0
253,Air Saint Maurice Inc.,3.0
254,Air Satellite,7.0
255,Air Senegal,25.0
256,Air Senegal / Gambia Airways,3.0
257,Air Serv Internatiional/CemAir,17.0
258,Air Service - Air Taxi,3.0
259,Air Services,3.0
260,Air Sinai,37.0
261,Air South,14.0
262,Air St. Martin,20.0
263,Air Sunshine,2.0
264,Air São Tomé,4.0
265,Air Tahiti,11.0
266,Air Tahoma,3.0
267,Air Taroma,1.0
268,Air Taxi,161.0
269,Air Taxi - Aero West Aviation Inc.,5.0
270,Air Taxi - Air Grand Canyon Inc.,7.0
271,Air Taxi - Air Medical Leasing,4.0
272,Air Taxi - Air Taxi Inc.,5.0
273,Air Taxi - Air Trends Inc.,4.0
274,Air Taxi - Air Vegas Inc.,2.0
